Name Of Scale,Alternative Scale Names,Ascending Note Positions in Scale,Binary 12notes 1&0,Number Of Notes In Scale,DissonanceIndex,Note Names from C,L and s Interval Sequence,ScaleCoding,Major Triads,Minor Triads,Aug. Triads,Dim. Triads
Theoretical - No Known Name,,1 1# 2 2# 3 5 5# 6 .,111110011100,8,4.0714,C C# D D# E G G# A .,(L-s) (s) (L-s) (s) (L+s) (L-s) (s) (L+s),9-67-1 .,C A,C#m Am,C+,C#dim
Chromatic Dorian,Raga Kanakambari (India),1 1# 2 4 5 5# 6 .,111001011100,7,4.0952,C C# D F G G# A .,(L-s) (s) (L+s) (L) (L-s) (s) (L+s),9-678-2 .,F,Dm,F+,
Chromatic Hypodorian,"Raga Dvigandharabushini Relative Blues scale,",1 2 2# 3 5 5# 6 .,101110011100,7,4.0952,C D D# E G G# A .,(L) (L-s) (s) (L+s) (L-s) (s) (L+s),9-678-1 .,C,Am,C+,
"Houzam (Greece)   Raga Saildesakshi, Trishuli (India)","Mela Sulini,  Raga Trishuli,",1 2# 3 4 5 6 7 .,100111010101,7,4.0952,C D# E F G A B .,(2L-s) (s) (s) (L) (L) (L) (s),10-48910-2 .,C F,Em Am,G+,
"Hungarian Gypsy, Damian Emmanuel","Minor Gypsy, Mela Sanmukhapriya (India) Raga Camara, Chinthamani",1 2 3b 4# 5 6b 7b .,101100111010,7,4.0952,C D Eb F# G Ab Bb .,(L) (s) (2L-s) (s) (s) (L) (L),10-48910-5 .,Eb Ab,Cm Gm,Bb+,
Mixolydian Augmented,,1 2 3 4 5# 6 7b .,101011001110,7,4.0952,C D E F G# A Bb .,(L) (L) (s) (2L-s) (s) (s) (L),10-48910-3 .,F Bb,Dm Am,C+,
Mixolydian b5,Minor Gipsy inverse,1 2 3 4 5b 6 7b .,101011100110,7,4.0952,C D E F Gb A Bb .,(L) (L) (s) (s) (2L-s) (s) (L),10-2348-7 .,F Bb,Dm Am,Gb+,
Neapolitan Minor,Raga Dhunibinnashadjam (India) Maqam Shahnaz Kurdi (Arabia),1 2b 3b 4 5 6b 7 .,110101011001,7,4.0952,C Db Eb F G Ab B .,(s) (L) (L) (L) (s) (2L-s) (s),10-48910-6 .,Db Ab,Cm Fm,Eb+,
Theoretical - No Known Name,,1 2b 3 4 5b 6b 7b .,110011101010,7,4.0952,C Db E F Gb Ab Bb .,(s) (2L-s) (s) (s) (L) (L) (L),10-48910-7 .,Db Gb,Fm Bbm,Ab+,
Mela Citrambari (India),Raga Chaturangini,1 2 3 4# 5 6# 7 .,101010110011,7,4.0952,C D E F# G A# B .,(L) (L) (L) (s) (2L-s) (s) (s),10-48910-1 .,C G,Em Bm,D+,
Theoretical - No Known Name (as 8/26/1 in 12edo),,1 2b 3bb 4b 5b 6b 7bb .,111010101100,7,4.0952,C Db Ebb Fb Gb Ab Bbb .,(s) (s) (L) (L) (L) (s) (2L-s),10-48910-11 .,Ebb Bbb,Dbm Gbm,Ebb+ Fb+ Bbb+,
Gypsy Hexatonic,"Mela Gayakapriya,  Raga Kalakanti",1 2b 3 4 5 6b 6 .,110011011100,7,4.0952,C Db E F G Ab A .,(s) (2L-s) (s) (L) (s) (L-s) (L+s),9-348-6 .,C Db F,Fm Am,Db+ Ab+,
Mela Dhatuvardhani (India),"Raga Dhauta Pancama,  Devarashtra",1 2# 3 4# 5 5# 7 .,100110111001,7,4.0952,C D# E F# G G# B .,(2L-s) (s) (L) (s) (L-s) (L+s) (s),9-348-1 .,C E B,Em G#m,C+ G+,
Bhairubahar Thaat (India),"Mela Suryakanta, That,  Raga Supradhipam, Sowrashtram,  Jaganmohini,  Hungarian Gipsy inverse",1 2b 3 4 5 6 7 .,110011010101,7,4.0952,C Db E F G A B .,(s) (2L-s) (s) (L) (L) (L) (s),10-2348-6 .,C F,Em Am,Db+,
Theoretical - No Known Name,,1 3 4 6b 6 7b 7 .,100011001111,7,4.0952,C E F Ab A Bb B .,(2L) (s) (L+s) (L-s) (s) (L-s) (s),9-267-5 .,F,Fm Am,Ab+,
Theoretical - No Known Name,,1 3b 4 5 6b 6 7 .,100101011101,7,4.0952,C Eb F G Ab A B .,(L+s) (L)  (L) (s) (L-s) (L) (s),9-379-5 .,F Ab,Cm Fm,Eb+,Adim
Theoretical - No Known Name,,1 3b 3 4 4# 6 7 .,100111100101,7,4.0952,C Eb E F F# A B .,(L+s) (L-s) (s) (L-s) (L+s) (L) (s),9-256-4 .,F,Am,,Adim
Theoretical - No Known Name,,1 3b 3 4 4# 6 7b .,100111100110,7,4.0952,C Eb E F F# A Bb .,(L+s) (L-s) (s) (L-s) (L+s) (s) (L),9-569-4 .,F,Am,,Adim
Theoretical - No Known Name,,1 3b 3 4 4# 5 7 .,100111110001,7,4.0952,C Eb E F F# G B .,(L+s) (L-s) (s) (L-s) (s) (2L) (s),9-267-4 .,C,Cm Em,Eb+,
Theoretical - No Known Name,,1 2 4 5b 6b 6 7b .,101001101110,7,4.0952,C D F Gb Ab A Bb .,(L) (L+s) (s) (L) (L-s) (s) (L),9-248-7 .,F Bb,Dm Fm,Gb+,Ddim
Theoretical - No Known Name,,1 2 3 5 6b 7b 7 .,101010011011,7,4.0952,C D E G Ab Bb B .,(L) (L) (L+s) (s) (L) (L-s) (s),9-248-5 .,C G,Em Gm,Ab+,Edim
Theoretical - No Known Name,,1 2 3 4 4# 5# 6 .,101011101100,7,4.0952,C D E F F# G# A .,(L) (L) (s) (L-s) (L) (s) (L+s),9-379-2 .,D F,Dm Am,C+,
Theoretical - No Known Name,,1 2 3b 3 5 6b 7 .,101110011001,7,4.0952,C D Eb E G Ab B .,(L) (s) (L-s) (L+s) (s) (2L-s) (s),9-348-5 .,C G Ab,Cm Em,Eb+ Ab+,
Theoretical - No Known Name,,1 2 3b 3 4# 5 7b .,101110110010,7,4.0952,C D Eb E F# G Bb .,(L) (s) (L-s) (L) (s) (L+s) (L),9-379-4 .,C Eb,Cm Gm,Bb+,Edim
Theoretical - No Known Name,,1 2 3b 3 4 4# 7 .,101111100001,7,4.0952,C D Eb E F F# B .,(L) (s) (L-s) (s) (L-s) (2L+s) (s),9-257-4 .,,Bm,,Bdim
Theoretical - No Known Name,,1 1# 3 4# 5# 6 6# .,110010101110,7,4.0952,C C# E F# G# A A# .,(L-s) (L+s) (L) (L) (s) (L-s) (2s),10-23610-1 .,F# A,C#m F#m Am,C+,F#dim A#dim
Theoretical - No Known Name,,1 2b 3b 4b 4 6b 7bb .,110111001100,7,4.0952,C Db Eb Fb F Ab Bbb .,(s) (L) (s) (L-s) (L+s) (s) (2L-s),9-348-10 .,Db Ab Bbb,Dbm Fm,Fb+ Bbb+,
Theoretical - No Known Name,,1 2b 3b 4b 4 5b 5 .,110111110000,7,4.0952,C Db Eb Fb F Gb G .,(s) (L) (s) (L-s) (s) (L-s) (2L+s),9-257-9 .,,Cm,,Cdim
Theoretical - No Known Name,,1 1# 2 3 4# 6 7b .,111010100110,7,4.0952,C C# D E F# A Bb .,(L-s) (s) (L) (L) (L+s) (s) (L),9-248-3 .,D A,F#m Am,Bb+,F#dim
Theoretical - No Known Name,,1 1# 2 3 4 5# 6 .,111011001100,7,4.0952,C C# D E F G# A .,(L-s) (s) (L) (s) (2L-s) (s) (L+s),9-378-2 .,F A,C#m Dm Am,C+ F+,
Theoretical - No Known Name,,1 1# 2 2# 4# 5# 6 .,111100101100,7,4.0952,C C# D D# F# G# A .,(L-s) (s) (L-s) (L+s) (L) (s) (L+s),9-256-1 .,D,F#m,,D#dim F#dim
Theoretical - No Known Name,,1 1# 2 2# 4# 5 7 .,111100110001,7,4.0952,C C# D D# F# G B .,(L-s) (s) (L-s) (L+s) (s) (2L) (s),9-459-1 .,G B,Bm,G+,
Theoretical - No Known Name,,1 1# 2 2# 4# 5 6 .,111100110100,7,4.0952,C C# D D# F# G A .,(L-s) (s) (L-s) (L+s) (s) (L) (L+s),9--569-1 .,D,F#m,,D#dim F#dim
Theoretical - No Known Name,,1 1# 2 2# 3 5# 6 .,111110001100,7,4.0952,C C# D D# E G# A .,(L-s) (s) (L-s) (s) (2L) (s) (L+s),9-267-1 .,A,C#m Am,C+,
Mela Syamalangi (India),Raga Shyamalam,1 2 3b 5b 5 6b 6 .,101100111100,7,4.0952,C D Eb Gb G Ab A .,(L) (s) (L+s) (L-s) (s) (L-s) (L+s),9-256-7 .,Ab,Cm,,Cdim Adim
Theoretical - No Known Name,,1 1# 4# 5 6 7b 7 .,110000110111,7,4.0952,C C# F# G A Bb B .,(L-s) (2L+s) (s) (L) (s) (L-s) (s),9-257-3 .,,F#m,,F#dim
Chromatic Mixolydian,,1 1# 2 4 4# 5 7b .,111001110010,7,4.0952,C C# D F F# G Bb .,(L-s) (s) (L+s) (L-s) (s) (L+s) (L),9-678-3 .,Bb,Gm,Bb+,
Theoretical - No Known Name,,1 2b 2 3b 5 6b 8b .,111100011001,7,4.0952,C Db D Eb G Ab Cb .,(s) (L-s) (s) (2L) (s) (L+s) (L-s),9-267-8 .,Ab,Cm Abm,Cb+,
Mela Latangi (India) (b6),"Mela Latangi,  Raga Gitapriya,  Hamsalata",1 2 3 4# 5 6b 7 .,101010111001,7,4.0952,C D E F# G Ab B .,(L) (L) (L) (s) (s) (2L-s) (s),10-2348-5 .,C G,Em Bm,Ab+,
Theoretical - No Known Name,,1 4# 5# 6 7 .,100000101101,5,4.1,C F# G# A B .,(3L) (L) (s) (L) (s),8-2358-1 .,,,,
Theoretical - No Known Name,,1 2 3b 6 7 .,101100000101,5,4.1,C D Eb A B .,(L) (s) (3L) (L) (s),8-2358-4 .,,,,Adim
Theoretical - No Known Name,,1 2 3b 4 7 .,101101000001,5,4.1,C D Eb F B .,(L) (s) (L) (3L) (s),8-2578-4 .,,,,Bdim
Theoretical - No Known Name,,1 2 3b 4 5b .,101101100000,5,4.1,C D Eb F Gb  .,(L) (s) (L) (s) (3L),8-2358-7 .,,,,Cdim
Theoretical - No Known Name,,1 2b 3b 4b 7b .,110110000010,5,4.1,C Db Eb Fb Bb .,(s) (L) (s) (3L) (L),8-2358-9 .,,,,Bbdim
Theoretical - No Known Name,,1 2b 3b 4b 5b .,110110100000,5,4.1,C Db Eb Fb Gb .,(s) (L) (s) (L) (3L),8-2578-9 .,,,,Cdim
Theoretical - No Known Name,,1 2 3b 4 4# 6b 6 7b .,101101101110,8,4.1071,C D Eb F F# Ab A Bb .,(L) (s) (L) (L-s) (2s) (L-s) (s) (L),10-6910-5 .,D F Ab Bb,Dm Fm,Bb+,Ddim Adim
Theoretical - No Known Name,,1 2b 3b 4 5b 5b 6 8b .,110101101101,8,4.1071,C Db Eb F Gb Ab A Cb .,(s) (L) (L) (s) (L) (L-s) (2s) (L-s),10-6910-8 .,F Cb,,Db+ Cb+,Cdim Adim
Theoretical - No Known Name,,1 3 4 4# 5 5# 6 7b 7 .,100011111111,9,4.1111,C E F F# G G# A Bb B .,(2L) (s) (L-s) (s) (L-s) (s) (s) (L-s) (s),10-510-3 .,C E F,Em Am,C+,Edim
Theoretical - No Known Name,,1 2 3b 4 4# 5 6b 7b 7 .,101101111011,9,4.1111,C D Eb F F# G Ab Bb B .,(L) (s) (L) (L-s) (s) (s) (L) (L-s) (s),10-89-5 .,Eb G Ab Bb,Cm Fm Gm Bm,Eb+ Bb+,Ddim Bdim
Theoretical - No Known Name,,1 2 3b 4 4# 5 5# 6 7 .,101101111101,9,4.1111,C D Eb F F# G Ab A B .,(L) (s) (L) (L-s) (s) (s) (L-s) (L) (s),10-39-5 .,D F G,Cm Dm Bm,Eb+,G#dim Adim Bdim
Theoretical - No Known Name,,1 2 2# 3 4 4# 5# 6 7 .,101111101101,9,4.1111,C D D# E F F# G# A B .,(L) (L-s) (s) (s) (L-s) (L) (s) (L) (s),10-39-2 .,D E F B,Dm G#m Am Bm,C+,D#dim G#dim Bdim
Theoretical - No Known Name,,1 2b 3b 4 5b 5 7bb 7b 8b .,110101110111,9,4.1111,C Db Eb F Gb G Bbb Bb Cb .,(s) (L) (L) (s) (L-s) (2L-s) (s) (s),10-26-10 .,Eb Gb Cb,Cm Ebm Gbm Bbm,Bbb+ Cb+,Cdim Ebdim Gdim
Theoretical - No Known Name,,1 2b 3b 4 5b 6b 6 7 .,110101111101,9,4.1111,C Db Eb F Gb G Ab A Cb .,(s) (L) (L) (s) (L-s) (s) (L-s) (2s) (L-s),10-610-8 .,Db F Ab,Fm,Db+,Cdim Adim
Theoretical - No Known Name,,1 2b 3b 4b 5b 5 6b 7bb 8b .,110110111101,9,4.1111,C Db Eb Fb Gb G Ab Bbb Cb .,(s) (L) (s) (L) (L-s) (s) (s) (L) (L-s),10-89-10 .,Fb Ab Bbb Cb,Cm Dbm Gbm Abm,Fb+ Bbb+ Cb+,Cdim Ebdim
Theoretical - No Known Name,,1 2b 3b 4b 5b 5 6b 7bb 7b .,110110111110,9,4.1111,C Db Eb Fb Gb G Ab Bbb Bb .,(s) (L) (s) (L) (L-s) (s) (s) (L-s) (L),10-39-10 .,Eb Gb Ab Bbb,Cm Dbm Ebm Gbm,Fb+ Bbb+,Cdim Ebdim Gdim Bbdim
Theoretical - No Known Name,,1 1# 2 4# 5 5# 6 6# 7 .,111000111111,9,4.1111,C C# D F# G G# A A# B .,(L-s) (s) (2L) (s) (L-s) (s) (L-s) (s) (s),10-510-1 .,D F# G,F#m Bm,D+,F#dim G#dim
Theoretical - No Known Name,,1 1# 2 3 4# 5 5# 6 6# .,111010111110,9,4.1111,C C# D E F# G G# A A# .,(L-s) (s) (L) (L) (s) (L-s) (s) (L-s) (2s),10-610-1 .,C D F# A,C#m F#m Am,C+ D+,C#dim F#dim A#dim
Theoretical - No Known Name,,1 1# 2 3 4 5 5# 6 7b .,111011011110,9,4.1111,C C# D E F G G# A Bb .,(L-s) (s) (L) (s) (L) (L-s) (s) (s) (L),10-89-3 .,C F A Bb,C#m Dm Gm Am,C+ F+,C#dim Edim
Theoretical - No Known Name,,1 2b 2 3b 5 6b 6 7b 7 .,111100011111,9,4.1111,C Db D Eb G Ab A Bb B .,(s) (L-s) (s) (2L) (s) (L-s) (s) (L-s) (s),10-510-6 .,Eb G Ab,Cm Gm,Eb+,Gdim Adim
Theoretical - No Known Name,,1 1# 2 2# 3 5# 6 6# 7 .,111110001111,9,4.1111,C C# D D# E G# A A# B .,(L-s) (s) (L-s) (s) (2L) (s) (L-s) (s) (s),10-27-1 .,E A,C#m G#m Am,C+,G#dim A#dim
Theoretical - No Known Name,,1 1# 2 2# 3 4 4# 5 7 .,111111110001,9,4.1111,C C# D D# E F F# G B .,(L-s) (s) (L-s) (s) (s) (L-s) (s) (2L) (s),10-510-2 .,C G B,Em Bm,G+,C#dim Bdim
Theoretical - No Known Name 5# s,,1 1# 2 2# 3 4# 5# 6 6#  .,111110101110,9,4.1111,C C# D D# E F# G# A A# .,(L-s) (s) (L-s) (s) (L) (L) (s) (L-s) (2s),10-26-1 .,D F# A,C#m D#m F#m Am,C+ D+,D#dim F#dim A#dim
Pan Lydian,Maqam Shawq Afza,1 2 3b 3 4 4# 5 5# 6 7 .,101111111101,10,4.1111,C D Eb E F F# G G# A B .,(L) (s) (L-s) (s) (L-s) (s) (L-s) (s) (L) (s),11-2-4 .,C D E F G,Cm Dm Em Am Bm,C+ Eb+,G#dim Adim Bdim
Double-Phrygian Hexatonic,,1 2b 3b 4 5b 6 .,110101100100,6,4.1333,C Db Eb F Gb A .,(s) (L) (L) (s) (2L-s) (L+s),9-3589-7 .,F,,Db+,Cdim Adim
Messiaen Mode 5 (dupe of 11/2348910/5 in 12edo),Two-semitone Tritone scale,1 1# 2 4# 5 5# .,111000111000,6,4.1333,C C# D F# G G# .,(L-s) (s) (2L) (s) (L-s) (L+2s),8-456-1 .,,,,
Raga Sarasanana (India),,1 2 3 4 5# 7 .,101011001001,6,4.1333,C D E F G# B .,(L) (L) (s) (2L-s) (L+s) (s),9-3589-2 .,E,,C+,G#dim Bdim
Raga Kalagada (India),,1 2b 3 5 6b 7b .,110010011010,6,4.1333,C Db E G Ab Bb .,(s) (2L-s) (L+s) (s) (L) (L),9-3589-6 .,C,,Ab+,Edim Gdim
Messiaen Mode 5,respelling,1 1# 4 4# 5 7 .,110001110001,6,4.1333,C C# F F# G B .,(L-s) (L+2s) (L-s) (s) (2L) (s),8-456-2 .,,,,
Messiaen 5th mode From Groves start E,Two-semitone Tritone scale,1 2b 2 5b  6b .,111000111000,6,4.1333,C Db D Gb G Ab .,(s) (L-s) (L+2s) (L-s) (s) (2L),8-456-7 .,,,,
Theoretical - No Known Name,,1 4 5 6b 6 7 .,100001011101,6,4.1333,C F G Ab A B .,(2L+s) (L) (s) (L-s) (L) (s),9-2379-5 .,F,Fm,,
Theoretical - No Known Name,,1 4 4# 6b 6 7b .,100001101110,6,4.1333,C F F# Ab A Bb .,(2L+s) (L-s) (2s) (L-s) (s) (L),10-267910-5 .,F,Fm,,
Messiaen Mode 5 Inverse,,1 3 4 4# 7b 7 .,100011100011,6,4.1333,C E F F# Bb B .,(2L) (s) (L-s) (L+2s) (L-s) (s),8-456-3 .,,,,
Theoretical - No Known Name,,1 2 b6 6 7b 7 .,101000001111,6,4.1333,C D Ab A Bb B .,(L) (2L+2s) (L-s) (s) (L-s) (s),9-2469-5 .,,,,
Theoretical - No Known Name,,1 2 5 6b 7b 7 .,101000011011,6,4.1333,C D G Ab Bb B .,(L) (2L+s) (s) (L) (L-s) (s),9-2489-5 .,G,Gm,,
Theoretical - No Known Name,,1 2 3b 6b 7b 7 .,101100001011,6,4.1333,C D Eb Ab Bb B .,(L) (s) (2L+s) (L) (L-s) (s),9-4689-5 .,Ab,,,
Theoretical - No Known Name,,1 2 3b 3 4# 7 .,101110100001,6,4.1333,C D Eb E F# B .,(L) (s) (L-s) (L) (2L+s) (s),9-2357-4 .,,Bm,,
Theoretical - No Known Name,,1 2 3b 3 4# 5 .,101110110000,6,4.1333,C D Eb E F# G .,(L) (s) (L-s) (L) (s) (2L+s),9-2379-4 .,C,Cm,,
Theoretical - No Known Name,,1 2 3b 3 4# 5 6b 6 7b 7 .,101110111111,10,4.1333,C D Eb E F# G Ab A Bb B .,(L) (s) (L-s) (L) (s) (s) (L-s) (s) (L-s) (s),10-4-5 .,C D Eb G Ab,Cm Em Gm Am Bm,Eb+ Ab+ Bb+,Edim Adim
Theoretical - No Known Name,,1 2 3b 3 4 4# .,101111100000,6,4.1333,C D Eb E F F# .,(L) (s) (L-s) (s) (L-s) (2L+2s),9-2579-4 .,,,,
Theoretical - No Known Name,,1 2b 5b 6b 6  7b .,110000101110,6,4.1333,C Db Gb Ab A Bb .,(s) (2L+s) (L) (L-s) (s) (L),9-4689-7 .,Gb,,,
Theoretical - No Known Name,,1 1# 2# 5# 6 7 .,110100001101,6,4.1333,C C# D# G# A B .,(L-s) (L) (2L+s) (s( (L) (s),9-2357-1 .,,G#m,,
Theoretical - No Known Name,,1 2b 3b 4b 7bb 8b .,110110000101,6,4.1333,C Db Eb Fb Bbb Cb .,(s) (L) (s) (2L+s) (L) (L-s),9-4689-10 .,Bbb,,Bbb+,
Theoretical - No Known Name,,1 2b 3b 4b 4 5 .,110111010000,6,4.1333,C Db Eb Fb F G .,(s) (L) (s) (L-s) (L) (2L+s),9-2357-9 .,,Cm,,
Theoretical - No Known Name,,1 2b 3b 4b 4 5 6b 7bb 7b 8b .,110111011111,10,4.1333,C Db Eb Fb F G Ab Bbb Bb Cb .,(s) (L) (s) (L-s) (L) (s) (s) (L-s) (s) (L-s),10-4-10 .,Db Eb Fb Ab Bbb,Cm Dbm Fm Abm Bbm,Fb+ Bbb+ Cb+,Fdim Gdim Bbdim
Theoretical - No Known Name,,1 1# 2 3 7b 7 .,111010000011,6,4.1333,C C# D E Bb B .,(L-s) (s) (L) (2L+2s) (L-s) (s),9-2469-3 .,,,,
Theoretical - No Known Name,,1 1# 2 3 6 7b .,111010000110,6,4.1333,C C# D E A Bb .,(L-s) (s) (L) (2L+s) (s) (L),9-2489-3 .,A,Am,,
Theoretical - No Known Name,,1 1# 2 3 4 7b .,111011000010,6,4.1333,C C# D E F Bb .,(L-s) (s) (L) (s) (2L+s) (L),9-3578-3 .,Bb,,,
Theoretical - No Known Name,,1 1# 2 3 4 4# 5# 6 7b 7 .,111011101111,10,4.1333,C C# D E F F# G# A Bb B .,(L-s) (s) (L) (s) (L-s) (L) (s) (s) (L-s) (s),10-4-3 .,D E F A Bb,C#m Dm F#m Am Bm,C+ F+ Bb+,F#dim G#dim Bdim
Theoretical - No Known Name,,1 2b 2 3b 4 5b 5 6 7b 8b .,111101110111,10,4.1333,C Db D Eb F Gb G A Bb Cb .,(s) (L-s) (s) (L) (s) (L-s) (L) (s) (L-s),10-4-8 .,Eb F Gb Bb Cb,Cm Dm Ebm Gm Bbm,Db+ Gb+ Cb+,Cdim Gdim Adim
Theoretical - No Known Name,,1 2 2# 3 4# 5 .,101110110000,6,4.1333,C D D# E F# G .,(L) (L-s) (s) (L) (s) (2L+s),9-4689-1 .,C,,,
Theoretical - No Known Name,,1 2 3b 3 5b 5 .,101110110000,6,4.1333,C D Eb E Gb G .,(L) (s) (L-s) (2s) (L-s) (2L+s),10-235610-7 .,C,Cm,,Cdim
Theoretical - No Known Name,,1 2 3b 3 5b 6b 6 7b 7 .,101110101111,9,4.1389,C D Eb E F# Ab A Bb B .,(L) (s) (L-s) (L) (2s) (L-s) (s) (L-s) (s),10-46-5 .,Ab,Ebm Am,Gb+ Ab+,Cdim Adim
Theoretical - No Known Name,,1 2b 3b 3 4 5 7bb 7b 8b .,110111010111,9,4.1389,C Db Eb Fb F G Bbb Bb Cb .,(s) (L) (s) (L-s) (L) (2s) (L-s) (s) (L-s),10-468-10 .,C Eb,Cm Bbm,Bbb+ Cb+,Edim Gdim
Theoretical - No Known Name,,1 2b 3b 4b 4 5b 5 7bb 8b .,110111110101,9,4.1389,C Db Eb Fb F Gb G Bbb Cb .,(s) (L) (s) (L-s) (s) (L-s) (2s) (L) (L-s),10-68-10 .,Bbb Cb,Cm Gbm,Bbb+ Cb+,Cdim Ebdim
Theoretical - No Known Name,,1 1# 2 3 4 4# 5# 7b 7 .,111011101011,9,4.1389,C C# D E F F# G# Bb B .,(L-s) (s) (L) (s) (L-s) (L) (2s) (L-s) (s),10-46-3 .,E Bb,C#m Bm,C+ Bb+,G#dim Bdim
Theoretical - No Known Name,,1 1# 2 3 4 4# 5 5# 7b .,111011111010,9,4.1389,C C# D E F F# G G# Bb .,(L-s) (s) (L) (s) (L-s) (s) (L-s) (2s) (L),10-68-3 .,C Bb,C#m Gm,C+ Bb+,C#dim Edim
Theoretical - No Known Name,,1 2b 2 3b 4 5b 5 6 8b .,111101110101,9,4.1389,C Db D Eb F Gb G A Cb .,(s) (L-s) (s) (L) (s) (L-s) (L) (2s) (L-s),10-46-8 .,F Cb,Cm Dm,Db+ Cb+,Cdim Adim
Utility minor 14/38911121314/5 in 12edo),"Maqam Nahawand, Farahfaza,  Raga Suha (Suha Kanada),  Gregorian nr.4,",1 2 3b 4 5 6b 7b 7 .,101101011011,8,4.1429,C D Eb F G Ab Bb B .,(L) (s) (L) (L) (s) (L) (L-s) (s),9-89-5 .,Eb G Ab Bb,Cm Fm Gm,Eb+,Ddim Bdim
Messiaen Mode 4 (all sharp),,1 1# 2 2# 4# 5 5# 6 .,111100111100,8,4.1429,C C# D D# F# G G# A .,(L-s) (s) (L-s) (L+s) (s) (L-s) (s) (L+s),9-56-1 .,D,F#m,,D#dim F#dim
Theoretical - No Known Name,,1 4 4# 5 5# 6 7 .,100001111101,7,4.1429,C F F# G G# A B .,(2L+s) (L-s) (s) (L-s) (s) (L) (s),9-469-2 .,F,,,
Theoretical - No Known Name,,1 3 4# 5 5# 6 6# 7 .,100010111111,8,4.1429,C E F# G G# A A# B .,(2L) (L) (s) (L-s) (s) (L-s) (s) (s),10-3810-1 .,C E,Em Am,C+,
Theoretical - No Known Name,,1 2 3b 6b 6 7b 7 .,101100001111,7,4.1429,C D Eb Ab A Bb B .,(L) (s) (2L+s) (L-s) (s) (L-s) (s),9-469-5 .,Ab,,,Adim
Theoretical - No Known Name,,1 2b 5b 5 6b 6 7b .,110000111110,7,4.1429,C Db Gb G Ab A Bb .,(s) (2L+s) (L-s) (s) (L-s) (s) (L),9-469-7 .,Gb,,,Gdim
Theoretical - No Known Name,,1 2b 4 5 6b 6 7b 7 .,110001011111,8,4.1429,C Db F G Ab A Bb B .,(s) (2L) (L) (s) (L-s) (s) (L-s) (s),10-3810-6 .,Db F,Fm Bbm,Db+,Gdim
Theoretical - No Known Name,,1 1# 3 4 4# 5 7b 7 .,110011110011,8,4.1429,C C# E F F# G Bb B .,(L-s) (L+s) (s) (L-s) (s) (L+s) (L-s) (s),9-56-3 .,C,Em,,C#dim Edim
Theoretical - No Known Name,,1 2b 3b 4b 7bb 7b 8b .,110110000111,7,4.1429,C Db Eb Fb Bbb Bb Cb .,(s) (L) (s) (2L+s) (L-s) (s) (L-s),9-469-10 .,Bbb,,Bbb+,Bbdim
Theoretical - No Known Name,,1 1# 2 3 4 7b 7 .,111011000011,7,4.1429,C C# D E F Bb B .,(L-s) (s) (L) (s) (2L+s) (L-s) (s),9-358-3 .,Bb,,,Bdim
Theoretical - No Known Name,,1 2b 2 3b 4 5b 8b .,111101100001,7,4.1429,C Db D Eb F Gb Cb .,(s) (L-s) (s) (L) (s) (2L+s) (L-s),9-468-8 .,Cb,,Cb+,Cdim
Theoretical - No Known Name,,1 1# 2 2# 3 4 6 7 .,111111000101,8,4.1429,C C# D D# E F A B .,(L-s) (s) (L-s) (s) (s) (2L) (L) (s),10-3810-2 .,F A,Dm Am,F+,Bdim
Messiaen Mode 4 Inverse,,1 3b 3 4 4# 6 7b 7 .,100111100111,8,4.1429,C Eb E F F# A Bb B .,(L+s) (L-s) (s) (L-s) (L+s) (s) (L-s) (s),9-56-4 .,F,Am,,Adim
Messiaen Mode 4 (all flats Eb-Gb),,1 2b 2 3b 5b 5 6b 6 .,111100111100,8,4.1429,C Db D Eb Gb G Ab A .,(s) (L-s) (s) (L+s) (L-s) (s) (L-s) (L+s),9-56-7 .,Ab,Cm,,Cdim Adim
Messiaen Mode 4?,,1 1# 2 4 4# 5 5# 7 .,111001111001,8,4.1429,C C# D F F# G G# B .,(L-s) (s) (L+s) (L-s) (s) (L-s) (L+s) (s),9-56-2 .,G,Bm,,G#dim Bdim
Blues Enneatonic,,1 2 2# 3 4 4# 5 6 7b .,101111110110,9,4.1667,C D D# E F F# G A Bb .,(L) (L-s) (s) (s) (L-s) (s) (L) (s) (L),11-81011-3 .,C D F Bb,Dm Gm Am,Bb+,D#dim Edim
Theoretical - No Known Name,,1 1# 2 4# .,111000100000,4,4.1667,C C# D F# .,(L-s) (s) (2L) (2L+2s),7-2456-1 .,,,,
Theoretical - No Known Name,,1 3 7b 7 .,100010000011,4,4.1667,C E Bb B .,(2L) (2L+2s) (L-s) (s),7-2456-3 .,,,,
Theoretical - No Known Name,,1 5b 5 6b .,100000111000,4,4.1667,C Gb G Ab .,(2L+2s) (L-s) (s) (2L),7-2456-7 .,,,,
Theoretical - No Known Name,,1 2b 4 8b .,110001000001,4,4.1667,C Db F Cb .,(s) (2L) (2L+2s) (L-s),7-2456-8 .,,,,
Theoretical - No Known Name,,1 1# 5 7 .,110000010001,4,4.1667,C C# G B .,(L-s) (2L+2s) (2L) (s),7-3457-1 .,,,,
Theoretical - No Known Name,,1 3 4 4# .,100011100000,4,4.1667,C E F F# .,(2L) (s) (L-s) (2L+2s),7-3457-2 .,,,,
Theoretical - No Known Name,,1 2b 2 6b .,111000001000,4,4.1667,C Db D Ab .,(s) (L-s) (2L+2s) (2L),7-3457-6 .,,,,
